Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/14 8:34:01 AM EST,2,6/10/21,English,7,10,6,9,Not sure,5,1,4,3,3,4,"Yes, more than once","Yes, more than once",5,8,10,7,4,9,8,Male,45,English,White,No,No,Own,No,,"$200,000 or more",No,7 years,Walk;Bike;Public transit;Car,
2021/07/14 8:38:49 AM EST,3,,English,9,10,9,9,Wrong track,5,2,,5,5,4,"Yes, more than once",No,9,3,8,8,8,9,7,Male,75,English,White,No,No,Own,No,,,No,70+,Car,
2021/07/14 8:43:19 AM EST,5,5/28/21,English,,8,7,7,Wrong track,5,3,3,1,3,3,No,No,10,9,5,9,8,9,9,Female,59,English,White,No,No,Own,No,,"$75,000 to $99,999",No,58 yrs,Public transit;Car,
2021/07/14 8:56:11 AM EST,4,5/27/21,English,9,9,10,10,Right direction,5,1,5,4,4,5,"Yes, more than once",No,9,10,9,10,9,10,10,Female,71,English,White,No,No,Rent,No,,"$50,000 to 74,999",No,24 years,Car,
2021/07/14 8:59:04 AM EST,3,5/28/21,English,10,10,8,9,Right direction,5,2,,3,3,4,No,No,8,6,9,9,10,10,10,Female,28,English,White,No,No,Own,No,,"$200,000 or more",No,2 years,Public transit,
2021/07/14 9:02:22 AM EST,6,5/29/21,English,5,8,6,9,Wrong track,4,2,4,5,1,4,"Yes, more than once","Yes, more than once",9,9,9,5,8,9,8,Male,70,English,White,No,No,Own,No,,,No,70 years,Walk;Public transit;Car,
2021/07/14 9:04:57 AM EST,6,5/28/21,English,7,7,7,8,Right direction,4,2,3,3,2,4,"Yes, once",No,6,9,6,6,6,7,6,Female,62,English,White,No,No,Own,No,,"$50,000 to 74,999",No,35 yrs,Walk;Car,
2021/07/14 9:08:15 AM EST,7,5/28/21,Spanish,5,5,8,8,Right direction,2,1,,1,1,3,No,"Yes, once",8,5,8,4,8,8,7,Female,30,ingles,White,No,No,Rent,Yes,"el clima, mas diversidad","$25,000 to $49,999",No,5 anos,Walk;Public transit,
2021/07/14 9:14:28 AM EST,4,5/29/21,English,7,8,,4,Not sure,5,3,3,4,3,5,"Yes, once",No,3,4,3,5,7,9,10,Female,49,English,White,No,No,Own,No,Unless it becomes more impossible to get around in a car.,"$100,000 to $149,999",No,11 years,Car,For health reasons some of us need to be able to get around using cars. For safety reasons-making driving harder makes Somerville less safe for women at night.
2021/07/14 9:16:50 AM EST,6,5/29/21,English,3,7,2,7,Wrong track,4,3,2,5,1,1,"Yes, more than once","Yes, more than once",5,7,10,8,7,10,3,Male,58,English,White,No,Yes,Own,No,,"$75,000 to $99,999",No,58 years,Walk;Bike;Car,
2021/07/14 9:19:02 AM EST,5,5/29/21,English,9,10,9,9,Right direction,4,1,3,,2,4,"Yes, more than once","Yes, more than once",3,8,9,9,8,9,7,Female,75,English,White,No,No,Own,No,,"$50,000 to 74,999",No,20 years,Walk;Public transit;Car,
